Year,GMSL,SigmaError
1918.666667,-132.3752665,22.93370328
1918.75,-131.4318527,22.92220833
1918.833333,-133.8368473,22.91071338
1918.916667,-132.2017506,22.9025357
1919,-130.0571184,22.89091431
1919.083333,-130.7560581,22.87942149
1919.166667,-129.5979094,22.86792882
1919.25,-133.6006212,22.85683269
1919.333333,-133.2452789,22.84534059
1919.416667,-133.47675,22.83345193
1919.5,-135.1482162,22.82195999
1919.583333,-132.8936382,22.80964739
1919.666667,-133.6991715,22.79733499
1919.75,-132.3914743,22.78321469
1919.833333,-132.1261072,22.77090184
1919.916667,-133.1531598,22.75867823
1920,-133.1605702,22.74399643
1920.083333,-134.0520463,22.73160825
1920.166667,-134.4917083,22.71929483
1920.25,-133.3252917,22.70698161
1920.333333,-131.9014932,22.69706157
1920.416667,-131.8524419,22.68475006
1920.5,-132.5576862,22.67249474
1920.583333,-131.7847295,22.66020709
1920.666667,-132.7725867,22.64784922
1920.75,-130.9070383,22.6368718
1920.833333,-134.3450787,22.62456206
1920.916667,-131.5853675,22.61245801
1921,-133.6800075,22.59864459
1921.083333,-134.0895546,22.58633477
1921.166667,-133.632613,22.57402517
1921.25,-131.4965403,22.56171577
1921.333333,-132.6377956,22.54940658
1921.416667,-132.9986495,22.5370976
1921.5,-132.0037906,22.52478884
1921.583333,-132.060459,22.51330085
1921.666667,-132.4482354,22.50181304
1921.75,-133.3934878,22.48993165
1921.833333,-131.3011613,22.47844401
1921.916667,-132.9536519,22.46696992
1922,-129.1395961,22.45537237
1922.083333,-131.7131634,22.44388523
1922.166667,-130.9567519,22.43248082
1922.25,-128.7637749,22.42126437
1922.333333,-130.6734952,22.40969133
1922.416667,-131.0869697,22.3954609
1922.5,-131.3382834,22.38382222
1922.583333,-130.6399088,22.37086579
1922.666667,-130.8759217,22.35847313
1922.75,-130.4505609,22.34616526
1922.833333,-130.4085794,22.33385761
1922.916667,-130.8568996,22.32167274
1923,-133.3590169,22.30927179
1923.083333,-129.2858465,22.29696479
1923.166667,-130.9227877,22.28465801
1923.25,-130.1412518,22.27235145
1923.333333,-129.4448064,22.26246714
1923.416667,-130.4788314,22.25023937
1923.5,-130.5339035,22.23793484
1923.583333,-130.5060697,22.22555341
1923.666667,-129.3284416,22.21324927
1923.75,-127.6410974,22.20094535
1923.833333,-126.0337299,22.18864165
1923.916667,-128.8447953,22.1722937
1924,-126.7401791,22.15930532
1924.083333,-128.0034576,22.14699965
1924.166667,-127.8888277,22.13469419
1924.25,-127.8015665,22.12238896
1924.333333,-129.3582001,22.11008395
1924.416667,-130.1932282,22.09783597
1924.5,-130.4233241,22.08553142
1924.583333,-130.5414553,22.0732271
1924.666667,-130.3831463,22.06092299
1924.75,-129.7009526,22.04861911
1924.833333,-130.037444,22.03631544
1924.916667,-131.8293481,22.02408043
1925,-130.281601,22.01177724
1925.083333,-128.0709455,21.99914811
1925.166667,-126.8183909,21.98684519
1925.25,-129.7828503,21.97454249
1925.333333,-127.3923437,21.96224001
1925.416667,-128.7673732,21.94750072
1925.5,-128.6909396,21.93519733
1925.583333,-128.703611,21.95951401
1925.666667,-129.033636,21.94723158
1925.75,-126.3401387,21.89828847
1925.833333,-126.3447179,21.88598597
1925.916667,-126.4278443,21.91038579
1926,-127.5398742,21.89807403
1926.083333,-128.2174426,21.88579282
1926.166667,-126.1345759,21.87351186
1926.25,-126.1192196,21.86123115
1926.333333,-128.0487764,21.85219197
1926.416667,-127.8273486,21.83991357
1926.5,-128.4593736,21.82763544
1926.583333,-128.9560732,21.81535755
1926.666667,-130.1055371,21.80297772
1926.75,-127.3989316,21.79070028
1926.833333,-128.2834181,21.7784231
1926.916667,-127.4820479,21.76614616
1927,-128.4911995,21.71490745
1927.083333,-125.4590276,21.70265144
1927.166667,-128.0858537,21.69035323
1927.25,-128.1551627,21.67801275
1927.333333,-128.0673527,21.66571497
1927.416667,-127.2167544,21.65341744
1927.5,-127.1069744,21.64112013
1927.583333,-126.3078555,21.62808489
1927.666667,-127.3930216,21.61578763
1927.75,-126.6661245,21.6042098
1927.833333,-127.637408,21.59191342
1927.916667,-125.799005,21.57967991
1928,-126.33353,21.56640739
1928.083333,-127.7423146,21.55432645
1928.166667,-125.6228766,21.54202003
1928.25,-125.2726295,21.52950218
1928.333333,-123.0278726,21.5172129
1928.416667,-125.0910014,21.50258761
1928.5,-125.6625515,21.49029124
1928.583333,-124.6333545,21.47801577
1928.666667,-124.6198949,21.46559827
1928.75,-125.4470101,21.45327594
1928.833333,-125.0189044,21.44110812
1928.916667,-125.2383547,21.42881697
1929,-120.9721766,21.4155922
1929.083333,-121.2098597,21.40329695
1929.166667,-124.0016458,21.39100194
1929.25,-122.7902737,21.37870717
1929.333333,-122.5841646,21.36850869
1929.416667,-123.7985063,21.3562156
1929.5,-122.7278504,21.34392276
1929.583333,-122.447176,21.33081065
1929.666667,-124.0893458,21.31769882
1929.75,-123.2012099,21.30462089
1929.833333,-123.1382798,21.29150963
1929.916667,-124.0397328,21.27839865
1930,-124.7901101,21.26083729
1930.083333,-120.959061,21.24772411
1930.166667,-122.075472,21.23461121
1930.25,-121.9089858,21.22151213
1930.333333,-121.39708,21.20839979
1930.416667,-123.6416523,21.19528772
1930.5,-120.5772415,21.18217593
1930.583333,-120.732209,21.17000945
1930.666667,-119.4185925,21.15771771
1930.75,-122.1126446,21.14431988
1930.833333,-120.9654922,21.13202799
1930.916667,-119.6618877,21.11973635
1931,-120.1344836,21.1061822
1931.083333,-119.9123559,21.09389031
1931.166667,-121.4600014,21.08174908
1931.25,-121.0279063,21.06945776
1931.333333,-122.578169,21.05716669
1931.416667,-121.4578592,21.04452798
1931.5,-122.3906724,21.03036176
1931.583333,-121.5092261,21.01807013
1931.666667,-121.5657543,21.00577875
1931.75,-122.8928434,20.99348761
1931.833333,-122.3649051,20.98119672
1931.916667,-123.6799489,20.96890625
1932,-122.97257,20.95724778
1932.083333,-119.9642555,20.9451514
1932.166667,-119.6545299,20.93220689
1932.25,-119.5905336,20.91991734
1932.333333,-119.5454788,20.90745676
1932.416667,-119.539369,20.89823811
1932.5,-119.860906,20.88595102
1932.583333,-121.3876957,20.87363898
1932.666667,-120.9825123,20.86135238
1932.75,-119.1974471,20.84906603
1932.833333,-120.7710456,20.83630548
1932.916667,-120.4442254,20.82398199
1933,-120.0561994,20.81158282
1933.083333,-117.3634072,20.79951437
1933.166667,-117.5951278,20.78722905
1933.25,-117.8191334,20.77494399
1933.333333,-118.8952729,20.76244156
1933.416667,-119.7444254,20.75015689
1933.5,-120.0191919,20.73787247
1933.583333,-120.3433755,20.72476938
1933.666667,-117.5092241,20.7117505
1933.75,-119.3493912,20.69865106
1933.833333,-119.3332897,20.68554891
1933.916667,-119.7932609,20.6726184
1934,-119.0787664,20.65951694
1934.083333,-118.6602055,20.64641578
1934.166667,-116.2016408,20.63331492
1934.25,-117.8916724,20.62021436
1934.333333,-119.2231509,20.6071141
